,Neighborhood,Year Built,SalePrice,SalePriceUSD
167,NAmes,1963,192000,"$192,000"
168,NAmes,1966,155000,"$155,000"
169,OldTown,1900,80400,"$80,400"
170,OldTown,1910,96500,"$96,500"
171,OldTown,1920,109500,"$109,500"
172,OldTown,1927,115000,"$115,000"
173,OldTown,1957,143000,"$143,000"
174,OldTown,1915,107400,"$107,400"
175,OldTown,1945,80000,"$80,000"
176,OldTown,1940,119000,"$119,000"
177,OldTown,1929,130000,"$130,000"
178,OldTown,1938,119000,"$119,000"
179,OldTown,1948,129000,"$129,000"
180,OldTown,1920,100000,"$100,000"
181,OldTown,1923,12789,"$12,789"
182,OldTown,1928,105900,"$105,900"
183,OldTown,1900,150000,"$150,000"
184,OldTown,1915,139000,"$139,000"
185,OldTown,1890,240000,"$240,000"
186,OldTown,1910,76500,"$76,500"
187,OldTown,1957,149700,"$149,700"
188,OldTown,1910,125500,"$125,500"
189,OldTown,1885,122500,"$122,500"
190,OldTown,1922,140750,"$140,750"
191,BrkSide,1950,128500,"$128,500"
192,BrkSide,1922,209500,"$209,500"
193,BrkSide,1925,87000,"$87,000"
194,BrkSide,1939,134000,"$134,000"
195,BrkSide,1940,128000,"$128,000"
196,BrkSide,1942,132000,"$132,000"
197,BrkSide,1948,139900,"$139,900"
198,BrkSide,1936,123900,"$123,900"
199,BrkSide,1930,138400,"$138,400"
200,OldTown,1923,109500,"$109,500"
201,OldTown,1921,140000,"$140,000"
202,OldTown,1915,149500,"$149,500"
203,OldTown,1912,159900,"$159,900"
204,OldTown,1920,122000,"$122,000"
205,IDOTRR,1963,110000,"$110,000"
206,IDOTRR,1930,55000,"$55,000"
207,OldTown,1900,140000,"$140,000"
208,ClearCr,1940,244400,"$244,400"
209,ClearCr,1959,173000,"$173,000"
210,ClearCr,1917,107500,"$107,500"
211,SWISU,1915,100000,"$100,000"
212,SWISU,1940,95000,"$95,000"
213,SWISU,1907,93369,"$93,369"
214,SWISU,1910,114900,"$114,900"
215,Sawyer,1875,94000,"$94,000"
216,Sawyer,1967,136000,"$136,000"
217,Sawyer,1968,136500,"$136,500"
218,Sawyer,1965,131500,"$131,500"
219,Sawyer,1957,121500,"$121,500"
220,Sawyer,1967,125000,"$125,000"
221,Sawyer,1968,154000,"$154,000"
222,Sawyer,1966,137900,"$137,900"
223,Sawyer,1969,158000,"$158,000"
224,Sawyer,1968,137250,"$137,250"
225,Sawyer,1978,160250,"$160,250"
226,Sawyer,1968,163000,"$163,000"
227,Sawyer,1978,158900,"$158,900"
228,ClearCr,1996,328000,"$328,000"
229,ClearCr,1977,270000,"$270,000"
230,Sawyer,1927,85000,"$85,000"
231,Sawyer,1950,128000,"$128,000"
232,ClearCr,1979,260000,"$260,000"
233,ClearCr,1978,230000,"$230,000"
234,Edwards,1938,124000,"$124,000"
235,Edwards,1920,83000,"$83,000"
236,Edwards,1950,144500,"$144,500"
237,Edwards,1956,129000,"$129,000"
238,Edwards,1947,127000,"$127,000"
239,Edwards,1954,128000,"$128,000"
240,Edwards,2009,186000,"$186,000"
241,Edwards,2009,308030,"$308,030"
242,Edwards,1964,114000,"$114,000"
243,Edwards,1946,84900,"$84,900"
244,SawyerW,1985,178000,"$178,000"
245,SawyerW,1987,270000,"$270,000"
246,SawyerW,1993,218000,"$218,000"
247,SawyerW,1993,236000,"$236,000"
248,SawyerW,1992,147000,"$147,000"
249,CollgCr,2008,245350,"$245,350"
250,CollgCr,2006,206000,"$206,000"
251,CollgCr,2009,198900,"$198,900"
252,CollgCr,2010,187000,"$187,000"
253,SawyerW,1990,320000,"$320,000"
254,SawyerW,1900,138500,"$138,500"
255,ClearCr,1971,155000,"$155,000"
256,CollgCr,1996,159000,"$159,000"
257,CollgCr,1997,191000,"$191,000"
258,CollgCr,1998,200500,"$200,500"
259,CollgCr,1977,150000,"$150,000"
260,CollgCr,1977,161750,"$161,750"
261,CollgCr,1976,128200,"$128,200"
262,CollgCr,1972,127000,"$127,000"
263,CollgCr,2003,318000,"$318,000"
264,CollgCr,2001,272000,"$272,000"
265,CollgCr,2003,237000,"$237,000"
266,CollgCr,1997,240000,"$240,000"
267,CollgCr,1998,224900,"$224,900"
268,CollgCr,2003,143750,"$143,750"
269,CollgCr,2004,143000,"$143,000"
270,CollgCr,2003,232000,"$232,000"
271,CollgCr,2004,213000,"$213,000"
272,CollgCr,2004,185500,"$185,500"
273,Edwards,1945,84900,"$84,900"
274,Edwards,1954,155891,"$155,891"
275,Edwards,1965,100000,"$100,000"
276,Edwards,1968,144000,"$144,000"
277,Edwards,1948,64000,"$64,000"
278,Edwards,1975,125200,"$125,200"
279,Edwards,1976,107000,"$107,000"
280,Edwards,1958,90000,"$90,000"
281,Edwards,2003,140000,"$140,000"
282,Edwards,1945,113000,"$113,000"
283,Edwards,1941,80000,"$80,000"
284,Edwards,1957,144500,"$144,500"
285,SWISU,1924,104000,"$104,000"
286,SWISU,1915,128000,"$128,000"
287,Edwards,1914,58500,"$58,500"
288,SWISU,1924,127000,"$127,000"
289,SWISU,1939,126000,"$126,000"
290,SWISU,1967,160000,"$160,000"
291,SWISU,1931,100000,"$100,000"
292,SWISU,1919,169000,"$169,000"
293,Crawfor,1941,257500,"$257,500"
294,Crawfor,1950,215000,"$215,000"
295,Crawfor,1941,266500,"$266,500"
296,Crawfor,1959,335000,"$335,000"
297,Crawfor,1994,203135,"$203,135"
298,Blueste,1989,185000,"$185,000"
299,Blueste,1989,162500,"$162,500"
300,Crawfor,1959,289000,"$289,000"
301,IDOTRR,1922,125500,"$125,500"
302,IDOTRR,1941,82000,"$82,000"
303,IDOTRR,1921,110000,"$110,000"
304,IDOTRR,1920,68400,"$68,400"
305,IDOTRR,1900,102776,"$102,776"
306,IDOTRR,1952,55993,"$55,993"
307,IDOTRR,1896,50138,"$50,138"
308,Crawfor,2004,246000,"$246,000"
309,Mitchel,1998,254900,"$254,900"
310,Mitchel,1977,190000,"$190,000"
311,Mitchel,2003,201000,"$201,000"
312,Mitchel,1976,169900,"$169,900"
313,Mitchel,1976,170000,"$170,000"
314,Timber,1948,160000,"$160,000"
315,Timber,2008,220000,"$220,000"
316,Timber,2009,179781,"$179,781"
317,Timber,2006,174000,"$174,000"
318,Timber,2009,269500,"$269,500"
319,Timber,2002,214900,"$214,900"
320,Timber,2002,202900,"$202,900"
321,Timber,2008,378500,"$378,500"
322,Mitchel,1965,169000,"$169,000"
323,Mitchel,2004,173500,"$173,500"
324,Mitchel,1971,139000,"$139,000"
325,Mitchel,1999,166500,"$166,500"
326,MeadowV,1973,83500,"$83,500"
327,MeadowV,1973,119500,"$119,500"
328,MeadowV,1976,85000,"$85,000"
329,MeadowV,1970,76000,"$76,000"
330,MeadowV,1972,75500,"$75,500"
331,MeadowV,1970,88250,"$88,250"
332,MeadowV,1972,85500,"$85,500"
333,Mitchel,1971,130000,"$130,000"
334,Mitchel,1962,157900,"$157,900"
335,Mitchel,1984,149900,"$149,900"
336,Mitchel,1985,159000,"$159,000"
337,Mitchel,1991,136000,"$136,000"
338,Mitchel,1969,161000,"$161,000"
339,Mitchel,1994,285000,"$285,000"
340,Mitchel,1993,231000,"$231,000"
341,NAmes,1956,124500,"$124,500"
342,NAmes,1974,157000,"$157,000"
343,NAmes,1972,345000,"$345,000"
344,Gilbert,1997,189500,"$189,500"
345,Gilbert,2003,270000,"$270,000"
346,Gilbert,1996,189000,"$189,000"
347,Gilbert,2006,377500,"$377,500"
348,Gilbert,1995,168500,"$168,500"
349,StoneBr,2004,375000,"$375,000"
350,StoneBr,2000,278000,"$278,000"
351,StoneBr,1998,240000,"$240,000"
352,StoneBr,1995,239500,"$239,500"
353,Gilbert,1998,177500,"$177,500"
354,Gilbert,1998,185000,"$185,000"
355,Gilbert,1998,191000,"$191,000"
356,Gilbert,1993,178000,"$178,000"
357,Gilbert,1993,185000,"$185,000"
358,Gilbert,1994,181316,"$181,316"
359,Gilbert,1993,166000,"$166,000"
360,Gilbert,1992,178000,"$178,000"
361,Gilbert,1994,174000,"$174,000"
362,Gilbert,1992,173000,"$173,000"
363,Gilbert,1999,225000,"$225,000"
364,Gilbert,1990,180500,"$180,500"
365,StoneBr,1984,187500,"$187,500"
366,StoneBr,2008,501837,"$501,837"
367,StoneBr,2008,372500,"$372,500"
368,StoneBr,2005,260000,"$260,000"
369,Gilbert,1977,185000,"$185,000"
370,NWAmes,1980,260000,"$260,000"
371,NWAmes,1979,181000,"$181,000"
372,NWAmes,1977,82500,"$82,500"
373,NWAmes,1977,215000,"$215,000"
374,NWAmes,1978,154000,"$154,000"
375,NWAmes,1978,200000,"$200,000"
376,NWAmes,1980,249000,"$249,000"
377,NWAmes,1980,187500,"$187,500"
378,NWAmes,1978,184000,"$184,000"
379,NWAmes,1981,278000,"$278,000"
380,NWAmes,1978,157000,"$157,000"
381,NWAmes,1976,152000,"$152,000"
382,NWAmes,1976,197500,"$197,500"
383,Somerst,2003,240900,"$240,900"
384,Somerst,2009,263435,"$263,435"
385,Somerst,2000,220000,"$220,000"
386,Somerst,2002,235000,"$235,000"
387,NWAmes,1975,213000,"$213,000"
388,NWAmes,1974,167900,"$167,900"
389,NWAmes,1975,158000,"$158,000"
390,NWAmes,1974,165000,"$165,000"
391,NWAmes,1972,158000,"$158,000"
392,NAmes,1974,136000,"$136,000"
393,NAmes,1970,148500,"$148,500"
394,NAmes,1969,156000,"$156,000"
395,NAmes,1970,128000,"$128,000"
396,NAmes,1971,143000,"$143,000"
397,NAmes,1970,76500,"$76,500"
398,NAmes,1970,120500,"$120,500"
399,NAmes,1970,124500,"$124,500"
400,NAmes,1971,97000,"$97,000"
401,NAmes,1971,130000,"$130,000"
402,BrDale,1973,111000,"$111,000"
403,BrDale,1970,125000,"$125,000"
404,BrDale,1971,112000,"$112,000"
405,BrDale,1972,97000,"$97,000"
406,BrDale,1972,118000,"$118,000"
407,BrDale,1972,119500,"$119,500"
408,NPkVill,1976,143750,"$143,750"
409,NPkVill,1976,146000,"$146,000"
410,NPkVill,1976,148500,"$148,500"
411,NPkVill,1975,123000,"$123,000"
412,NPkVill,1974,147000,"$147,000"
413,NPkVill,1977,137900,"$137,900"
414,NPkVill,1978,147000,"$147,000"
415,NPkVill,1978,148500,"$148,500"
416,NPkVill,1978,138000,"$138,000"
417,NPkVill,1976,128500,"$128,500"
418,NAmes,1967,100000,"$100,000"
419,NAmes,1966,148800,"$148,800"
420,NridgHt,2006,337500,"$337,500"
421,NridgHt,2007,462000,"$462,000"
422,NridgHt,2008,485000,"$485,000"
423,NridgHt,2008,555000,"$555,000"
424,NridgHt,2006,325000,"$325,000"
425,NridgHt,2007,256300,"$256,300"
426,NridgHt,2008,253293,"$253,293"
427,NridgHt,2009,398800,"$398,800"
428,NridgHt,2008,335000,"$335,000"
429,NridgHt,2008,404000,"$404,000"
430,NridgHt,2009,402861,"$402,861"
431,NridgHt,2008,451950,"$451,950"
432,NridgHt,2007,610000,"$610,000"
433,NridgHt,2008,582933,"$582,933"
434,NridgHt,2008,360000,"$360,000"
435,NridgHt,2004,296000,"$296,000"
436,NridgHt,2007,409900,"$409,900"
437,NridgHt,2006,255500,"$255,500"
438,NridgHt,2008,335000,"$335,000"
439,NridgHt,2004,274900,"$274,900"
440,NridgHt,2006,300000,"$300,000"
441,NridgHt,2008,324000,"$324,000"
442,NridgHt,2004,350000,"$350,000"
443,NridgHt,2004,280000,"$280,000"
444,NridgHt,2003,284000,"$284,000"
445,NridgHt,2003,269500,"$269,500"
446,NridgHt,2009,233170,"$233,170"
447,NridgHt,2003,386250,"$386,250"
448,NridgHt,2003,445000,"$445,000"
449,NridgHt,2003,290000,"$290,000"
450,NridgHt,2006,255900,"$255,900"
451,NridgHt,2005,213000,"$213,000"
452,NridgHt,2005,196000,"$196,000"
453,NridgHt,2005,184500,"$184,500"
454,NridgHt,2007,212500,"$212,500"
455,NridgHt,2007,230000,"$230,000"
456,NridgHt,2004,552000,"$552,000"
457,NridgHt,2003,382500,"$382,500"
458,NridgHt,2008,320000,"$320,000"
459,NridgHt,2008,248500,"$248,500"
460,NridgHt,2002,286500,"$286,500"
461,NridgHt,2006,254000,"$254,000"
462,NridgHt,2003,173000,"$173,000"
463,NridgHt,2003,173000,"$173,000"
464,Gilbert,2005,184000,"$184,000"
465,Gilbert,2005,167800,"$167,800"
466,Gilbert,2005,174000,"$174,000"
467,Gilbert,2005,174000,"$174,000"
468,Blmngtn,2007,174000,"$174,000"
469,Blmngtn,2007,175900,"$175,900"
470,Blmngtn,2005,192500,"$192,500"
471,Blmngtn,2005,181000,"$181,000"
472,Blmngtn,2005,180000,"$180,000"
473,Blmngtn,2005,160200,"$160,200"
474,Gilbert,2004,188500,"$188,500"
475,Gilbert,2002,200000,"$200,000"
476,Gilbert,2004,170000,"$170,000"
477,Gilbert,2004,189500,"$189,500"
478,Gilbert,2002,184100,"$184,100"
479,Gilbert,2004,195500,"$195,500"
480,Gilbert,2003,192000,"$192,000"
481,Gilbert,2003,178000,"$178,000"
482,NridgHt,2007,207500,"$207,500"
483,Gilbert,2000,236000,"$236,000"
484,Gilbert,2002,257500,"$257,500"
485,Gilbert,2000,244000,"$244,000"
486,Gilbert,2004,167000,"$167,000"
487,Gilbert,2000,179000,"$179,000"
488,Gilbert,2000,190000,"$190,000"
489,Gilbert,1999,156000,"$156,000"
490,Gilbert,1999,245000,"$245,000"
491,Gilbert,1999,181000,"$181,000"
492,Gilbert,1999,214000,"$214,000"
493,Gilbert,1999,168000,"$168,000"
494,NoRidge,1999,337000,"$337,000"
495,NoRidge,1995,403000,"$403,000"
496,NoRidge,2000,327000,"$327,000"
497,NoRidge,1998,340000,"$340,000"
498,NoRidge,1998,336000,"$336,000"
499,NoRidge,1996,265000,"$265,000"
500,NoRidge,1994,315000,"$315,000"
501,NoRidge,1993,260000,"$260,000"
502,NoRidge,1995,260000,"$260,000"
503,NoRidge,1993,263550,"$263,550"
504,NoRidge,1994,402000,"$402,000"
505,NoRidge,1994,248000,"$248,000"
506,Somerst,2008,244600,"$244,600"
507,Somerst,2008,275000,"$275,000"
508,Somerst,2008,257500,"$257,500"
509,Somerst,2008,287090,"$287,090"
510,Somerst,2007,275500,"$275,500"
511,Somerst,2006,245000,"$245,000"
512,Somerst,2005,253000,"$253,000"
513,Somerst,2005,468000,"$468,000"
514,Somerst,2009,252678,"$252,678"
515,Somerst,2008,210000,"$210,000"
516,Somerst,2009,208300,"$208,300"
517,Somerst,2008,225000,"$225,000"
518,Somerst,2009,229456,"$229,456"
519,Somerst,2008,229800,"$229,800"
520,Somerst,2007,250000,"$250,000"
521,Somerst,2009,370878,"$370,878"
522,Somerst,2006,238500,"$238,500"
523,Somerst,2008,310000,"$310,000"
524,Somerst,2006,270000,"$270,000"
525,Somerst,2005,252000,"$252,000"
526,Somerst,2006,241000,"$241,000"
527,Somerst,2008,264500,"$264,500"
528,Somerst,2006,291000,"$291,000"
529,Somerst,2003,263000,"$263,000"
530,Somerst,2004,185000,"$185,000"
531,Somerst,2003,234500,"$234,500"
532,Somerst,2003,209000,"$209,000"
533,SawyerW,2007,159000,"$159,000"
534,SawyerW,2006,152000,"$152,000"
535,SawyerW,2004,143500,"$143,500"
536,SawyerW,2004,193000,"$193,000"
537,SawyerW,2004,203000,"$203,000"
538,SawyerW,2003,184900,"$184,900"
539,SawyerW,2004,159000,"$159,000"
540,SawyerW,2004,142000,"$142,000"
541,SawyerW,2003,153000,"$153,000"
542,SawyerW,2008,224243,"$224,243"
543,SawyerW,1996,220000,"$220,000"
544,SawyerW,2005,257000,"$257,000"
545,SawyerW,2001,189000,"$189,000"
546,SawyerW,1992,171500,"$171,500"
547,SawyerW,1980,120000,"$120,000"
548,SawyerW,1990,145000,"$145,000"
549,SawyerW,1994,184000,"$184,000"
550,SawyerW,1986,162000,"$162,000"
551,SawyerW,1981,160000,"$160,000"
552,SawyerW,1950,82000,"$82,000"
553,SawyerW,1928,76000,"$76,000"
554,Sawyer,1962,110000,"$110,000"
555,Sawyer,1977,135000,"$135,000"
556,Sawyer,1961,141000,"$141,000"
557,Sawyer,1961,122000,"$122,000"
558,Sawyer,1965,124100,"$124,100"
559,Sawyer,1963,129000,"$129,000"
560,Sawyer,1961,131400,"$131,400"
561,Sawyer,1965,62383,"$62,383"
562,Sawyer,1962,123000,"$123,000"
563,Veenker,1980,275000,"$275,000"
564,NoRidge,1991,235000,"$235,000"
565,Somerst,2004,280750,"$280,750"
566,Somerst,2009,164500,"$164,500"
567,Somerst,2009,173733,"$173,733"
568,Somerst,2008,222000,"$222,000"
569,Somerst,2008,195000,"$195,000"
570,Somerst,1999,172500,"$172,500"
571,Somerst,2000,180000,"$180,000"
572,Somerst,1999,156000,"$156,000"
573,Somerst,1999,172500,"$172,500"
574,Veenker,1977,318750,"$318,750"
575,Greens,1981,211500,"$211,500"
576,Veenker,1981,241600,"$241,600"
577,Veenker,1976,180500,"$180,500"
578,Sawyer,1976,150000,"$150,000"
579,NWAmes,1968,154000,"$154,000"
580,NWAmes,1970,185000,"$185,000"
581,NWAmes,1968,185750,"$185,750"
582,NWAmes,1973,200000,"$200,000"
583,NWAmes,1974,206000,"$206,000"
584,NWAmes,1972,162000,"$162,000"
585,NWAmes,1967,256900,"$256,900"
586,NWAmes,1967,197900,"$197,900"
587,NWAmes,1969,163000,"$163,000"
588,NWAmes,1969,113000,"$113,000"
589,NWAmes,1977,230000,"$230,000"
590,NWAmes,1977,167900,"$167,900"
591,NWAmes,1998,213250,"$213,250"
592,NWAmes,2001,227000,"$227,000"
593,NAmes,1967,130000,"$130,000"
594,NAmes,1967,143000,"$143,000"
595,NAmes,1965,117500,"$117,500"
596,NWAmes,1974,168500,"$168,500"
597,NWAmes,1971,172500,"$172,500"
598,NWAmes,1967,161500,"$161,500"
599,NAmes,1960,141500,"$141,500"
600,NAmes,1959,118000,"$118,000"
601,NAmes,1959,127500,"$127,500"
602,NAmes,1957,140000,"$140,000"
603,NAmes,1956,177625,"$177,625"
604,NAmes,1958,110000,"$110,000"
605,NAmes,1964,167000,"$167,000"
606,NAmes,1961,153000,"$153,000"
607,NAmes,1964,145100,"$145,100"
608,NAmes,1966,154000,"$154,000"
609,NAmes,1965,177500,"$177,500"
610,NAmes,1964,158000,"$158,000"
611,NAmes,1959,124500,"$124,500"
612,NAmes,1961,174500,"$174,500"
613,NAmes,1955,122000,"$122,000"
614,BrkSide,1940,82500,"$82,500"
615,BrkSide,1950,110000,"$110,000"
616,NAmes,1953,149500,"$149,500"
617,NAmes,1967,175000,"$175,000"
618,NAmes,1953,167000,"$167,000"
619,NAmes,1956,128900,"$128,900"
620,NAmes,1950,140000,"$140,000"
621,NAmes,1950,147000,"$147,000"
622,NAmes,1967,124000,"$124,000"
623,NAmes,1961,187500,"$187,500"
624,NAmes,1963,159000,"$159,000"
625,NAmes,1966,256000,"$256,000"
626,NAmes,1965,205000,"$205,000"
627,NAmes,1968,193500,"$193,500"
628,NAmes,1968,110000,"$110,000"
629,NAmes,1920,104900,"$104,900"
630,NAmes,1956,150000,"$150,000"
631,NAmes,1957,156500,"$156,500"
632,NAmes,1960,176000,"$176,000"
633,NAmes,1959,149500,"$149,500"
634,NAmes,1958,139000,"$139,000"
635,NAmes,1958,155000,"$155,000"
636,NAmes,1956,120000,"$120,000"
637,NAmes,1955,153000,"$153,000"
638,NAmes,1956,144000,"$144,000"
639,NAmes,1962,176000,"$176,000"
640,NAmes,1954,153000,"$153,000"
641,NAmes,1958,135000,"$135,000"
642,NAmes,1954,131000,"$131,000"
643,NAmes,1953,123000,"$123,000"
644,NAmes,1951,126000,"$126,000"
645,NAmes,1955,115000,"$115,000"
646,NAmes,1951,164900,"$164,900"
647,NAmes,1945,113000,"$113,000"
648,NAmes,1952,145500,"$145,500"
649,NAmes,1953,102900,"$102,900"
650,OldTown,1900,95000,"$95,000"
651,NAmes,1948,152500,"$152,500"
652,NAmes,1950,129900,"$129,900"
653,NAmes,1948,132000,"$132,000"
654,OldTown,1958,99900,"$99,900"
655,OldTown,1916,135000,"$135,000"
656,OldTown,1939,149000,"$149,000"
657,OldTown,1900,114000,"$114,000"
658,OldTown,1924,109500,"$109,500"
659,OldTown,1925,125000,"$125,000"
660,OldTown,1915,142900,"$142,900"
661,OldTown,1910,156500,"$156,500"
662,OldTown,1940,59000,"$59,000"
663,OldTown,1920,105000,"$105,000"
664,OldTown,1920,106000,"$106,000"
665,OldTown,1890,78500,"$78,500"
666,NAmes,1969,190000,"$190,000"
667,NAmes,1963,154000,"$154,000"
668,NAmes,1967,163000,"$163,000"
669,NAmes,1969,200000,"$200,000"
670,NAmes,1958,143500,"$143,500"
671,NAmes,1957,135000,"$135,000"
672,NAmes,1957,153000,"$153,000"
673,NAmes,1960,157500,"$157,500"
674,NAmes,1958,113500,"$113,500"
675,NAmes,1949,133000,"$133,000"
676,NAmes,1950,92900,"$92,900"
677,NAmes,1950,128500,"$128,500"
